time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	
9.702832614325365057e+01 1.040857488833534887e+02 9.629641610658248396e+01 8.397397258932883801e+01 1.014131664699651196e+02 1.004021524510804966e+02
9.965635794154817972e+01 1.078014445234939274e+02 9.926036245094839217e+01 8.152314815795578795e+01 1.022192712470247642e+02 1.004152934623211451e+02
9.219226993666893577e+01 8.615937230381099710e+01 9.993922591924676624e+01 7.902180619789206162e+01 1.039550022025374005e+02 1.079695634691867809e+02
1.156624694932156672e+02 1.099423368371845982e+02 1.009588461700558071e+02 9.095908210541514904e+01 1.092196203564943318e+02 1.222519211711395712e+02
9.799270973138577290e+01 8.555421583019167997e+01 8.569613465376924921e+01 1.083477007766813927e+02 1.081950826856248682e+02 8.732505516065735662e+01
8.813208360044535539e+01 8.214682724943659764e+01 8.565590041506555963e+01 1.103065822269921483e+02 8.780483546839860765e+01 9.522431166511988465e+01
1.094493523988233079e+02 1.113253248988807798e+02 1.064370379698770819e+02 9.591416594197616519e+01 1.076787837107211203e+02 1.137197509782530176e+02
1.068867034858926104e+02 1.103473335317081023e+02 1.029573700713638260e+02 1.090030118928613518e+02 1.049928071799567988e+02 1.044229729736771759e+02
1.065095547335127151e+02 9.661388079632627068e+01 9.740508781629777957e+01 1.061655750757858385e+02 1.144322682374440774e+02 8.911158039338792491e+01
9.614261194127642796e+01 9.763615829649111788e+01 9.468411593304796270e+01 1.117103028993183784e+02 8.938836834109105212e+01 1.009952504180391060e+02
8.853017974612745888e+01 1.045274759453465521e+02 1.039527675198753229e+02 9.300222165414770359e+01 9.677386774525675150e+01 1.012990363078569942e+02
1.061418685931937347e+02 1.032108695067701660e+02 9.721551811905443685e+01 1.039437817040682859e+02 9.282312196879368571e+01 9.943797709676135810e+01
9.930327608609498213e+01 9.212281007669042765e+01 1.040083170318129646e+02 8.720498635903206264e+01 9.021668096940648240e+01 9.595929639512768006e+01
1.081043315391229953e+02 9.398136181681026358e+01 9.736357985883893207e+01 8.116424752014395949e+01 1.052743802982418657e+02 8.399880653193808655e+01
9.192397742061018562e+01 1.004823468136166014e+02 1.019450098532221602e+02 9.838176473360570640e+01 9.889152190842115431e+01 1.057671809736136765e+02
1.100754069730912761e+02 1.075093422627762010e+02 9.474782979231325442e+01 8.383360446288975254e+01 1.096492886635786306e+02 9.188330279435437831e+01
1.092306936447988193e+02 1.037626676067118154e+02 1.111722180199353858e+02 8.650460032110188990e+01 9.224078606067926955e+01 1.140778867261549721e+02
1.022333327378455721e+02 9.592386866125042388e+01 1.058537889106490297e+02 9.462595728243981341e+01 1.153065162532917327e+02 1.024921310337931715e+02
8.364062624294709281e+01 1.194560063734981838e+02 9.575913674994178848e+01 8.674165893839936814e+01 1.090085307803826993e+02 1.056811810149820587e+02
9.808146364270655226e+01 1.019575157121822997e+02 9.596121936051090984e+01 1.036859950130303929e+02 9.811843167618343386e+01 9.251286937846602143e+01
9.790178012182984446e+01 1.134866560357071421e+02 1.114204310009549914e+02 1.118921790026238909e+02 9.778706348423551731e+01 1.002197214770957459e+02
9.738433188421674913e+01 1.001601749087748487e+02 1.049019650433909163e+02 1.020439514621073158e+02 9.381563001508237676e+01 1.040696307140194392e+02
8.326738542493794171e+01 8.766836180222202302e+01 1.077243365804640547e+02 8.172991076679849698e+01 9.390299293238199141e+01 1.048960832381696520e+02
8.870966839068864829e+01 9.582848829856068562e+01 1.017238496340142291e+02 1.153767621983697893e+02 1.155441945080398085e+02 1.078708758089035200e+02
9.389762051327275572e+01 1.008776791772641559e+02 1.017285781352299097e+02 1.125767917375135738e+02 1.121374403975845553e+02 1.049443106497669618e+02
9.331914979917596042e+01 8.582875037854684308e+01 9.509114654274051759e+01 9.667247575155909090e+01 1.087411329189991847e+02 1.024130365843713832e+02
9.499165278077710184e+01 1.075099824339189212e+02 9.724470315961752931e+01 9.402834630196790044e+01 1.083517720448438411e+02 1.049337152901183998e+02
9.915609872219459930e+01 1.106991609124084732e+02 9.535313849411903675e+01 1.100285852821162109e+02 1.277802848273679501e+02 9.728499712104482455e+01
1.038187261441475755e+02 9.750729123655986541e+01 1.019853221683026163e+02 1.023755987553024198e+02 1.256137641203190469e+02 1.034681006760861379e+02
1.145493302205677253e+02 1.178870182052711613e+02 9.441536094019902237e+01 1.163093406173547066e+02 1.239989632988271353e+02 9.696380597087535591e+01
1.121191205444903716e+02 9.885536628536385706e+01 9.370617817499858404e+01 1.151903536110617665e+02 1.243240780057461166e+02 9.016095614433338312e+01
9.022696586293201904e+01 1.062725854869891577e+02 9.564598358932691724e+01 1.095723779378796223e+02 1.087999581008987064e+02 9.603639952956790182e+01
8.938061943116071006e+01 1.052673324301486275e+02 9.401986887040141028e+01 9.347564288651338416e+01 1.095658901619969186e+02 9.502310061608696401e+01
1.105589238372695604e+02 9.368847902335704703e+01 9.330399166955461965e+01 1.047710963566048719e+02 8.263858832084362405e+01 9.080204757114674408e+01
9.018629273028651028e+01 8.677985220365165731e+01 9.996515978907498834e+01 9.519346257607634243e+01 9.364752034037640271e+01 1.058180751475079120e+02
8.436868652912315270e+01 7.680346162184116565e+01 1.106552002419629162e+02 1.032744738883463640e+02 1.066460842532684978e+02 1.103352513860293271e+02
1.144017463852348442e+02 9.725622805065188459e+01 1.099355021997180160e+02 1.058387523885082544e+02 1.060843007436367316e+02 9.878028814648260436e+01
1.200572868235877877e+02 1.127127826176390784e+02 1.049835772153172542e+02 1.128788789510489607e+02 9.046507530665176944e+01 9.458493594373139501e+01
8.503998297249076188e+01 1.035928205923010239e+02 1.133750025128810677e+02 1.160881563824262628e+02 9.451796484338748883e+01 1.011993414126589101e+02
8.122500689303427635e+01 1.064975067099053092e+02 1.102224226506176024e+02 1.243340966604049100e+02 8.496284726353343331e+01 9.436601074360822849e+01
1.216319414465720570e+02 8.857191675203790737e+01 9.881242964187443079e+01 1.154428485787041012e+02 1.165954510215661628e+02 9.315810984393017691e+01
8.693829380552139696e+01 9.863750216784305280e+01 9.579935129882238698e+01 1.063626990546113973e+02 7.935201331092126509e+01 1.026448317207336913e+02
8.733542475415393369e+01 8.071763779477971923e+01 1.076108852939359934e+02 8.866890010719043858e+01 1.067670198598496540e+02 1.025930926537388075e+02
8.897003569617967855e+01 8.071045607612683170e+01 1.147938963255265890e+02 9.425834591030124443e+01 9.886829198340265634e+01 1.059016969079923456e+02
8.230271968794026805e+01 9.358617225552413288e+01 1.244834520147520323e+02 1.031605694812397616e+02 1.028524952524651468e+02 1.217868496412446717e+02
9.864545069607244443e+01 1.127427192548953485e+02 8.768762424931256305e+01 1.030143393547333517e+02 9.605286636203389605e+01 8.204930977763743272e+01
1.018448105102878003e+02 1.083821430005455682e+02 1.050564376808724774e+02 9.843745715890494807e+01 8.794153319080443509e+01 9.067886123231214412e+01
1.050909802202750569e+02 1.082496608577869495e+02 9.818065823723250674e+01 8.903574897389195542e+01 9.298423247711194506e+01 1.034904258361860059e+02
9.269638843324892719e+01 8.977238895922461381e+01 1.042558944764492850e+02 8.905481711497738218e+01 1.020347570033063533e+02 1.000279452988631590e+02
1.103828915846056447e+02 8.963903903101621040e+01 1.095654054819733858e+02 8.902605193944208395e+01 9.826888945503431216e+01 9.607020278416199233e+01
1.082717005185569690e+02 1.082506277621704385e+02 9.858188956513293988e+01 1.113103834405437595e+02 9.700579121775744795e+01 1.076505519626516048e+02
9.589052860860081751e+01 1.055733990306444667e+02 9.529253006380810120e+01 1.140325492206168718e+02 1.064132111238105267e+02 1.076793574195235976e+02
8.953334021777665441e+01 9.658467564787257231e+01 9.692453680548990747e+01 1.144162339340432766e+02 1.142232791972072050e+02 1.167034069849377573e+02
1.007124062318055309e+02 9.925062955863894842e+01 8.499406815629922107e+01 8.814943058409583898e+01 1.058096246269607548e+02 8.779744709360500110e+01
9.468195642344007013e+01 1.039380541718523432e+02 1.167299135642226702e+02 9.884316634292675019e+01 8.486319085253290950e+01 1.215937704539190065e+02
1.003200474762802514e+02 1.089294224509472855e+02 1.087466642738810947e+02 1.019884393692260005e+02 1.103444952745307717e+02 1.160624040390340781e+02
7.646738630300352213e+01 8.883211887602179502e+01 9.610124273469575940e+01 1.065332338439391293e+02 8.828079794584462547e+01 1.015738432958442985e+02
8.617000027314958288e+01 1.147899110226323387e+02 9.095022300951174543e+01 1.137241725577267175e+02 8.441638660192533905e+01 1.035415159047868485e+02
1.017530117952616422e+02 9.286653252819837689e+01 8.977370485143678991e+01 1.051008247566215204e+02 1.104609203804491813e+02 1.317735517473460050e+02
1.001495852248775833e+02 9.547060449975994345e+01 9.564240269956306406e+01 1.045811575530177038e+02 1.046182617675707718e+02 1.076087838377717105e+02
9.237179542064890825e+01 8.995898261117127959e+01 8.804383522417937513e+01 1.048721602973316749e+02 9.474727398683930346e+01 9.407399422129427080e+01
1.086291230581983172e+02 1.048326046448276969e+02 8.707408588998220011e+01 1.142323816724945971e+02 1.036259573070508679e+02 1.024489327885311241e+02
9.755050483962034491e+01 1.026610569836975344e+02 1.122117926764086491e+02 1.110286150308077282e+02 9.728015638721564073e+01 8.973758696918000055e+01
1.009538882614976956e+02 1.130574768736112787e+02 8.795736567203948653e+01 9.559693428093612511e+01 9.917761330920257024e+01 1.016896003841960692e+02
1.011031256775482490e+02 1.028721691810476102e+02 8.969640213102714199e+01 9.959018721364198257e+01 9.999575417223567797e+01 1.022551964691397046e+02
1.015765706626242064e+02 9.660423564100548788e+01 1.099664553970079623e+02 8.672728563690128567e+01 8.230220020712275186e+01 1.062758804190645208e+02
1.077894798493235129e+02 1.027541848411609777e+02 1.052844974049104536e+02 8.849806902648226981e+01 1.038125089520489439e+02 1.075635588602088575e+02
8.817485412435979697e+01 1.004863854731790980e+02 1.184276644490236663e+02 9.753648400113071659e+01 1.083669721862123936e+02 9.161847288805942924e+01
9.025484515699974963e+01 1.008159587171363540e+02 1.173165817838171421e+02 9.017261926090195345e+01 9.611073856460392051e+01 1.024980830905825400e+02
9.121859768604379326e+01 9.564219053600045584e+01 1.162218554144846792e+02 8.270678012012965041e+01 9.798845166446899668e+01 9.566784548915731534e+01
8.486675112097074702e+01 9.250605048791641138e+01 8.598762724824963755e+01 1.018433502833479167e+02 9.469124981342565661e+01 1.042745565060721304e+02
1.074638063017853540e+02 1.088953972639985466e+02 9.484184638426016534e+01 1.007549167376253365e+02 1.037938811191530419e+02 1.006356174642448593e+02
9.949056060012452463e+01 9.069887245317362101e+01 1.023691106733944309e+02 9.970037080108919270e+01 1.040935266038401323e+02 7.560926272737050624e+01
9.317836779570725980e+01 1.057664404997508711e+02 9.786874564973558677e+01 1.138532506951326297e+02 8.407221292072009078e+01 1.008886875361078097e+02
9.321024514544527051e+01 1.052993272761778201e+02 9.885395137525019038e+01 1.213414866004436306e+02 9.659676041505301214e+01 9.851895274541043079e+01
1.093674222117090267e+02 1.153564066243301625e+02 9.825508284088448363e+01 1.218872360024846557e+02 1.035503093170511022e+02 1.106829297687029197e+02
1.058799742657056839e+02 8.278232107962328712e+01 1.034748503607295618e+02 1.260286648934972220e+02 1.088523950433481673e+02 8.920374017682519252e+01
1.022406906314113257e+02 7.951687249784791334e+01 9.521631566846988903e+01 1.272499320752766607e+02 8.862278147580633458e+01 9.230457060922938695e+01
9.690916572826318998e+01 1.129055123363694690e+02 9.661221744888590024e+01 1.115329086697054208e+02 1.168527952087081871e+02 9.127170772432727119e+01
9.639674701645563459e+01 9.219483256847928487e+01 1.089237555612855601e+02 1.006375450650987489e+02 9.966655595644414234e+01 1.030839197192342311e+02
1.022969608120215668e+02 9.559829525005370954e+01 1.073035627190989771e+02 1.034567109532873559e+02 9.810612891724268536e+01 1.032487204266013947e+02
9.398209580544961739e+01 8.758988804589127142e+01 8.619772397705611411e+01 1.048183824670480249e+02 1.001208508972739679e+02 1.077478330766979298e+02
9.719558738127814479e+01 1.094802622456895733e+02 1.065664108366028557e+02 9.236126629478339112e+01 9.886790280317647728e+01 1.013071178844172806e+02
9.695648576170162869e+01 1.047502313770281432e+02 1.037965979998422625e+02 1.116675255774137554e+02 1.023152951524093339e+02 1.073894765500589159e+02
9.770138085696046915e+01 9.575441811110124490e+01 9.922512344818322561e+01 8.747541190558004587e+01 1.013932920456559259e+02 1.065523123067279414e+02
9.857937970198521782e+01 8.479292802396945206e+01 1.005917825993044232e+02 9.821959913820148813e+01 9.985460917316342488e+01 1.122971140672211163e+02
9.157212825584169025e+01 7.020586306605558491e+01 9.706869603243279698e+01 8.744494781113731108e+01 1.063785179976838577e+02 1.024591961953365029e+02
8.988107685872122943e+01 1.311607340285082728e+02 9.236682294642643853e+01 9.948036095970496717e+01 1.031186002382140146e+02 1.058628311827628181e+02
9.052580287676184412e+01 1.244966932563474131e+02 1.032753109315711271e+02 1.123171656945753796e+02 8.840162427753678287e+01 8.613780355249383547e+01
8.852752036724760387e+01 1.094008293996659944e+02 9.804173985784946410e+01 1.177652475521496598e+02 1.002844428199774427e+02 1.135514646536989716e+02
1.019090893607076964e+02 1.009512123032201174e+02 8.701313951596176821e+01 1.039702754075066053e+02 1.017895193554347912e+02 1.096145588885632236e+02
9.561414350337440737e+01 9.740494272609355164e+01 9.524262738494223868e+01 1.018803628182749179e+02 9.900410470029366650e+01 1.084334929551607445e+02
9.832102683923454833e+01 1.157897080771074059e+02 9.572278638508635140e+01 1.115343814287717663e+02 1.246955857497937217e+02 8.905269215142911321e+01
1.053134633499635839e+02 8.744654930209090082e+01 1.040765470486715003e+02 9.220484452298801159e+01 1.270515631128854892e+02 9.101246079456211646e+01
1.061044890183231928e+02 9.284250257810955986e+01 9.746315693276447689e+01 1.025346785501580342e+02 1.054944388129756163e+02 9.208793009485782477e+01
8.805397782990263522e+01 1.068089312476272710e+02 1.008474069993422972e+02 9.777056720621436625e+01 9.769178307952208229e+01 1.002467818172803788e+02
8.883084842884538546e+01 9.296680704904272829e+01 9.053228701177171445e+01 9.385350147812602017e+01 8.212192224007817742e+01 9.969903730981000933e+01
9.628473106279099625e+01 1.048906048729562883e+02 1.038962140341282634e+02 1.133289209952874046e+02 8.507262611463565349e+01 9.713459452134540584e+01
9.620200078284094047e+01 1.041833500495132228e+02 9.892056980745937267e+01 9.813031712328941580e+01 9.017820170830287907e+01 8.365077933073861516e+01
9.887810437119230755e+01 9.639180007105480286e+01 9.628521026640720493e+01 9.612713135662896491e+01 8.533762775260623812e+01 9.446747594095606360e+01
1.164468994364799102e+02 9.659997947297317467e+01 1.001262344126440951e+02 9.138115923777992577e+01 8.219099882531961043e+01 9.121014856874782595e+01
8.547120796840417256e+01 1.064866215714656903e+02 9.748086592112201743e+01 9.503672932610291468e+01 9.397254557444944112e+01 9.776316845952604240e+01
1.102053714019869091e+02 9.205601688594319398e+01 1.005815569500747699e+02 1.045849180590328160e+02 1.033937538777968541e+02 9.479511108491354321e+01
1.195337035466762075e+02 1.028586060113432268e+02 9.033220802393834958e+01 9.117237445643723959e+01 1.032141629725552150e+02 9.276916446202150723e+01
1.186332584110553938e+02 9.191804719467256746e+01 8.772151972836121558e+01 9.759847223392453941e+01 8.836214708711102617e+01 1.184694182049148026e+02
9.190904791577531796e+01 9.173713268390139319e+01 1.114904370128472237e+02 9.387054773558499221e+01 9.672748729754297869e+01 1.025792143585658067e+02
9.858420123427299586e+01 1.042072293836604615e+02 1.169089744539247988e+02 8.949208159992996059e+01 1.097726551260030590e+02 1.083990142296188139e+02
9.247452822943782280e+01 8.885921290941534778e+01 9.844001124361631128e+01 9.231867924811227510e+01 9.338656076980518606e+01 9.534864509077262085e+01
9.796670636881708560e+01 1.111411051346852901e+02 1.058388635726947200e+02 9.466947972548700818e+01 9.517558385223907180e+01 1.015499491769698324e+02
1.110812830596881611e+02 9.118216332805802438e+01 9.482574852917225883e+01 9.821301317966502609e+01 9.847226634400003320e+01 9.680535957913448897e+01
1.013902422658999001e+02 1.194841558688137440e+02 1.012898121597626186e+02 9.734947368212961294e+01 1.001031270557646451e+02 9.849054560495494570e+01
8.292525416065046784e+01 8.994896760115702250e+01 1.156127269547858987e+02 1.109325218804387703e+02 9.725607240691567767e+01 9.169878776264170028e+01
1.170097604486664551e+02 1.004128825843564954e+02 9.291726616144967466e+01 1.194064982708922997e+02 9.570821729279751366e+01 1.116526738881871808e+02
1.115371013856814955e+02 1.035978961792613973e+02 1.016861519221135524e+02 1.046042686125052370e+02 9.460962239490089587e+01 8.621005529112186139e+01
8.587644202048021214e+01 1.125043883481928333e+02 1.149306233583038761e+02 9.019569071432367480e+01 1.027277698947767419e+02 9.425661719051909415e+01
1.012249680689066906e+02 1.298943015071963032e+02 9.915083534678680621e+01 1.032296569050866708e+02 8.324192329138557511e+01 9.500551857142505696e+01
8.521688555883342531e+01 9.351888586759334032e+01 8.576553858775373840e+01 9.036103204842272874e+01 1.041291375672226991e+02 8.384251930619961968e+01
1.040713328332118124e+02 1.001125402705086884e+02 9.979752792761874503e+01 9.908023246656627236e+01 1.014859369861440683e+02 8.539548791461677979e+01
9.494023931303314612e+01 9.742140667042444591e+01 1.235950402621024011e+02 8.280367979473251694e+01 1.037527153944982672e+02 9.370930555611867874e+01
8.842440042506108000e+01 1.023164800220134367e+02 1.238978910332824626e+02 1.072979654747274196e+02 1.082021672928119784e+02 1.000785393328625901e+02
9.490862446577233413e+01 1.061995951426807636e+02 1.126772057467855745e+02 9.638495920825729968e+01 8.760426049696373241e+01 1.112126521597027136e+02
1.066198514869027463e+02 9.845226103462671574e+01 8.924665461461097493e+01 9.745451941350869163e+01 1.012287964749809817e+02 1.130300605395491687e+02
8.556920049808942963e+01 1.087064588848667199e+02 1.063108613933493558e+02 9.999437496156912175e+01 1.150475147359048833e+02 8.394577203589847159e+01
1.149316478097771892e+02 9.914276712032530270e+01 9.982195419893541555e+01 9.702549683788515722e+01 1.150500325079288757e+02 8.237931651521253684e+01
1.193654950098055565e+02 1.107671379844259718e+02 1.032719153614771699e+02 9.293730011044030448e+01 1.023363949535364839e+02 9.526437394447842166e+01
1.088883843968656606e+02 1.084089861525510514e+02 9.082966679629525686e+01 8.562677605329724884e+01 1.123859341552324622e+02 1.203579064729426307e+02
9.049826115393634041e+01 9.190120438117136814e+01 9.092407336452717459e+01 1.165385891767131312e+02 1.018696382049911904e+02 1.000313042966451320e+02
1.014870376471344571e+02 8.797920902705591573e+01 8.845150024027269353e+01 1.195018972394465493e+02 9.127797095061966104e+01 1.072540807667899116e+02
9.845480038231667663e+01 1.153738511843491779e+02 1.056049576706322028e+02 8.871340157098251211e+01 1.071296880558871578e+02 9.063338961455032461e+01
1.078393116504822586e+02 8.618840250996640862e+01 1.059411215284678462e+02 9.323935661701554523e+01 1.055629852585305741e+02 1.009873796629748313e+02
1.011806537519751004e+02 8.338867059167266405e+01 9.992578357797398780e+01 8.166131621641694949e+01 1.086797146431082552e+02 9.540220794330360832e+01
8.932112611918132927e+01 9.043290289536503224e+01 1.071933349749026121e+02 8.631505688293610490e+01 9.694299517930156185e+01 1.108258276664866742e+02
1.134295621500255038e+02 9.738515215867501240e+01 1.064523941055383744e+02 8.212424705520588475e+01 9.937177207624839070e+01 1.127474048690757087e+02
1.080659893007145627e+02 1.002567459351255508e+02 1.059190739315571932e+02 9.022323709988471307e+01 9.848804382853954564e+01 1.004700984076409043e+02
1.149821182036881027e+02 8.652631977484657000e+01 9.498872694287993568e+01 9.232859314160316444e+01 1.042851077603756806e+02 9.067130703932147640e+01
1.057479720355729000e+02 1.141227571766040683e+02 1.017417230614197337e+02 1.090869788917185446e+02 8.864575506689809004e+01 1.099691349302069767e+02
1.069883375734018784e+02 1.003057980192446337e+02 1.013855959399431867e+02 9.880884074964625086e+01 8.896076412765302166e+01 1.088373058550147334e+02
9.922467836397802898e+01 9.754218080618991848e+01 1.086021703584754334e+02 1.130012775111681265e+02 1.012038709419915250e+02 1.026989442931971723e+02
1.054430686207361134e+02 1.012720001611353098e+02 1.102090948377443453e+02 1.454566929146621703e+02 1.051140155359127419e+02 1.114240098714467138e+02
1.136033121854995471e+02 9.259255041820681242e+01 1.056430492336970417e+02 1.355582826338404061e+02 1.061809287285581149e+02 1.016906774581381541e+02
1.104274821620426366e+02 1.037156793546364781e+02 9.680355778233287367e+01 1.143127872205269568e+02 9.776580551913096429e+01 9.050462660545574067e+01
9.017596782798405286e+01 9.534249265181270516e+01 9.264197415360661125e+01 8.440060240958800364e+01 1.081967524790579773e+02 1.044165638938348906e+02
1.010630231392720475e+02 9.415606072784224523e+01 1.052709469303839285e+02 9.144192139785783979e+01 1.014634733039048058e+02 1.148461915169284566e+02
1.097779825309581412e+02 8.223141219016545733e+01 1.050546396278422776e+02 1.014631224342922309e+02 1.046148509224309464e+02 9.506753621272832788e+01
1.020612181919971135e+02 1.018314067526057443e+02 9.665988346168316525e+01 9.968555059807411567e+01 9.868293585544172686e+01 9.442246767320192191e+01
1.070039413661217935e+02 9.816050122455065718e+01 1.028368007101955044e+02 9.594596918253691342e+01 9.937645136385329181e+01 9.695128271332069403e+01
9.788636849960123243e+01 9.235271412887027509e+01 9.675220271107920667e+01 9.040064295251922033e+01 1.005313807372202177e+02 9.172145904518967541e+01
1.030310883380282831e+02 8.986022594566031785e+01 9.732585951524298196e+01 7.512527123386615813e+01 1.004483894536480761e+02 9.669985602198519814e+01
1.098313849343333857e+02 1.198702978902783514e+02 9.051258822710519780e+01 1.225269967028236380e+02 1.029002526644772644e+02 9.260154558478447484e+01
9.569067681879933218e+01 1.180722874153614441e+02 1.141343765046036935e+02 8.602726528766217484e+01 9.535732696044073009e+01 1.028293183878165991e+02
7.531165181888351867e+01 9.227177714321382496e+01 1.042752946277709896e+02 1.071654477744216507e+02 9.291157924177987582e+01 1.057694709596770224e+02
8.120085704790338355e+01 1.061404099248714061e+02 1.104958062063120678e+02 1.014428344103914981e+02 8.635347746391414603e+01 1.036599545551725896e+02
8.915719497135063421e+01 1.055826067371110639e+02 1.127543826335077881e+02 9.371589478411945606e+01 9.796669311024930948e+01 1.012465526940141558e+02
9.882596851741429589e+01 1.047596522009943385e+02 1.068855412349539051e+02 9.554936673602745145e+01 1.044960069129077738e+02 1.074782463214190216e+02
1.028466290740658025e+02 9.545943963547392741e+01 9.870659698978438712e+01 9.533878367741472459e+01 1.009358461615698275e+02 9.269946844267924746e+01
1.028213396293252231e+02 9.947162753238225719e+01 8.456746278364498437e+01 1.152795327292236465e+02 8.984005278226304370e+01 1.177415391435543910e+02
1.026489500245585162e+02 9.332819190082534533e+01 8.813354048531152785e+01 1.066716776104283610e+02 9.106202710142743229e+01 1.173865244036407347e+02
1.005492486559831349e+02 7.923536910108646225e+01 7.809446097793973252e+01 8.794840668175275766e+01 9.892108897475139884e+01 9.419335064040961925e+01
8.929625024410024992e+01 1.168747997072611327e+02 7.687351720534370259e+01 8.777184125867673004e+01 9.945283210307592014e+01 1.079380038061944163e+02
8.762099048282209424e+01 1.056321106101820533e+02 1.233547777221337896e+02 1.130160698433868163e+02 1.005691392726304514e+02 8.250052847556632685e+01
9.785218773001199111e+01 1.017330349708983448e+02 8.325722619682490233e+01 9.150733379336335815e+01 9.821572128352744357e+01 8.682215774041338818e+01
1.118142119907020060e+02 1.038386884685066320e+02 1.000694795451279049e+02 1.098903473165053981e+02 1.150283776112937915e+02 1.138594868189311171e+02
9.957945255336230161e+01 8.874717078000814752e+01 1.031987768498488833e+02 1.072972923637249352e+02 1.041205343655217632e+02 1.103577520308709836e+02
8.874743181514629953e+01 8.044978881339223165e+01 9.657219506869296310e+01 1.077055039755478987e+02 1.088798071186518825e+02 1.022248949370869866e+02
1.086370228557666593e+02 1.104409992825154774e+02 1.018080827040115253e+02 1.007640615441333836e+02 1.023306283051773562e+02 1.082949528372718930e+02
1.000871032863051937e+02 1.085294617116971096e+02 9.457879095712689832e+01 9.534110469151062262e+01 1.027133313623396589e+02 1.086075201761664175e+02
9.115203022212422468e+01 9.862346163660680531e+01 1.140189693820442471e+02 1.149420890356365703e+02 1.017330798935419409e+02 9.600186519754237224e+01
9.178432700621121398e+01 9.211417104246562815e+01 1.139322416460226179e+02 1.092575949151073758e+02 9.638652169736567998e+01 1.064574109902680732e+02
1.042548121676435926e+02 9.225625870007442586e+01 1.125355368876371642e+02 8.820525420287273732e+01 9.377455283789356599e+01 8.885542510673131744e+01
1.008891167847250756e+02 1.052650372464885891e+02 1.067510383520745734e+02 9.764208204229063881e+01 9.196761136833593753e+01 8.842092203962288011e+01
1.003270060458195303e+02 9.972029834074497501e+01 8.819464336332596588e+01 1.007983685377914753e+02 9.228495012792902230e+01 9.570450405311801489e+01
9.223679436675529075e+01 1.005926831276491669e+02 9.288325640897207336e+01 1.062294864916125334e+02 8.783874401481170935e+01 9.156240738626267728e+01
1.052594747196314557e+02 9.767695799194306971e+01 1.179471347307257929e+02 1.065002798441628613e+02 1.055529017075797498e+02 1.071913708403508849e+02
1.115181403520304002e+02 9.566041239877412750e+01 1.073015674441881657e+02 8.687058814967545572e+01 1.032647367450660170e+02 9.373267573508785233e+01
9.343621084985869629e+01 8.773220076473226925e+01 1.059108589241109968e+02 8.681658480888825125e+01 1.009698774840283448e+02 9.666266556355412831e+01
9.934523008672141486e+01 9.071304065265800887e+01 7.951460407661789986e+01 1.030796389332961098e+02 9.900031933860688582e+01 1.180751282379706879e+02
9.862734077686685907e+01 1.173554659086292986e+02 1.204643480391380734e+02 9.344701617449889852e+01 9.672263591015018847e+01 1.216723571392440419e+02
9.968093434316304524e+01 9.822869720273000382e+01 1.065908652061873454e+02 1.114660708409614642e+02 1.080539780015431859e+02 1.172426078857926512e+02
1.052060287031929278e+02 1.018774523993360077e+02 1.031114542239424026e+02 1.023440338413345785e+02 9.351008572426027854e+01 9.977620783975888230e+01
9.517268185814967296e+01 9.839597447667841834e+01 9.954404095279465992e+01 9.235505457138742713e+01 8.782677103363693050e+01 9.379052450622668857e+01
