"HITID","Company","Year","Text","Worker","Answer","Date"
"36BTXXLZ2V6E24X50W4RT3FE1644RQ","McDonalds","2015","Over the course of 2015, our performance began to reflect the actions we’re taking to strengthen the business. Whilst operating income was flat* for the year due in part to current and prior year items outside normal operations, systemwide sales increased 3%*. Comparable sales grew 1.5%, with positive performance across all four segments in the third and fourth quarters. We built momentum as the year went on – a clear testament to progress as we execute the turnaround plan.","ATHS9CW2FLYUY","No Social Responsibility","2018-02-03 22:39:52 UTC"
"33KMQD9OFJC138V9TG4SRY8ORW077E","CocaCola","2014","TOMORROW MORNING, ABOUT 2 BILLION HOUSEHOLDS WILL WAKE UP AROUND THE WORLD, ALL OF THEM THIRSTY AND EAGER FOR REFRESHMENT. ON AVERAGE, EACH OF THESE FAMILIES WILL CONSUME 26 DRINK SERVINGS THROUGHOUT THE DAY. AND BEVERAGES OF THE COCA‑COLA COMPANY WILL ACCOUNT FOR ABOUT ONE AND A HALF OF THOSE 26 SERVINGS.","A2HGAQ9WOEU9PN","No Social Responsibility","2018-02-03 22:39:44 UTC"
"3B6F54KMR2A9BK0ZS3LULFD7BOD1SY","CocaCola","2014","About half of these savings will come from being more efficient in the way we make and distribute our beverages. Roughly a third will come from reducing operating expenses. The rest will come from marketing, where we’ve designed more effective and efficient global campaigns.","A2HGAQ9WOEU9PN","No Social Responsibility","2018-02-03 22:39:56 UTC"
"3MXX6RQ9EV3TQRHQN402O8FZ0OG4PY","McDonalds","2016","Last year, we built on the success we started to see in the second half of 2015. We ran better restaurants, focusing on the fundamentals of quality, service, cleanliness and value. We restructured. Refranchised. Reduced spending. Returned cash to shareholders. And most importantly, we grew operating income.","ATHS9CW2FLYUY","No Social Responsibility","2018-02-03 22:39:29 UTC"
"32CAVSKPCENPQXS3H8GU0GVVWLY1UE","Microsoft","2013","Over time, our focus on high-value activities will generate amazing innovation and new areas of growth. What is a high-value activity? Think of the experiences people have every day that are most important to them — from communicating with a family member and researching a term paper to having serious fun and expressing ideas. In a business setting, high-value activities include experiences such as conducting meetings with colleagues in multiple locations, gaining insight from massive amounts of data and information, and interacting with customers.","ATHS9CW2FLYUY","No Social Responsibility","2018-02-03 22:39:24 UTC"
"3XABXM4AJ13F9457ZK545PLE76XQ8H","CocaCola","2015","“Taste the Feeling” and “One Brand.” Our marketing teams and agency partners created “Taste the Feeling”—a new global marketing campaign for Trademark Coca‑Cola, including Coke, Diet Coke, Coke Zero and Coca‑Cola Life. Launched in early 2016, the campaign is part of a “one brand” strategy to link all Coca‑Cola variants more closely together.","A3OZ8KF0HWSVWK","No Social Responsibility","2018-02-03 22:40:01 UTC"
"31YWE12TE0AVIN10BT8QLXLCTPEX7Y","McDonalds","2015","We recommitted to running great restaurants and delivering what customers want: hot, fresh food; fast, friendly service; and a contemporary restaurant experience – all at the value of McDonald’s. We re-emphasised quality, service and cleanliness in the restaurants as we streamlined operational procedures to improve order accuracy, removed items from the menu and simplified drive-thru menu boards.","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:40:08 UTC"
"39TX062QX1MDH40D9H508G9WONSX3T","CocaCola","2014","Overall, The Coca‑Cola Company gained global value share in our industry in 2014, increasing our share of the total amount spent by consumers on nonalcoholic beverages. On a structurally adjusted comparable currency neutral basis, we increased net revenues 3 percent and operating income 6 percent.1 We also grew unit case volume 2 percent. However, we were not satisfied with these numbers, even in a challenging year.","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:39:58 UTC"
"3YCT0L9OMM7CPR7OXQJSIMQAEPHSNW","CocaCola","2014","That’s just one reason we believe in our growth potential. But we’re also keenly aware that we’re entitled to nothing. And the plain and simple truth is that capturing this opportunity for you and our Company will require us to perform at a higher level than we did in 2014.","ATHS9CW2FLYUY","No Social Responsibility","2018-02-03 22:40:06 UTC"
"371QPA24C2MAQKDEH3QKVK9TD7R1TN","CocaCola","2014","Overall, these steps will allow us to speed decision making and enhance our local market focus—both of which will help unlock growth. We’ll also have a more nimble organization, one better equipped to outpace the change in our industry.","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:40:03 UTC"
"3X878VYTIEGEI1AFBZ24FQL5PKIF7P","McDonalds","2015","The launch of All Day Breakfast in the U.S. is one of the most visible demonstrations of this shift. People who would have gone elsewhere came to McDonald's to enjoy Egg McMuffins and other breakfast items at lunch and throughout the day. We also saw existing customers add breakfast entrées to their regular orders.","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:40:37 UTC"
"3PZDSVZ3J5FTN65D7PNAKJA409F4N2","Microsoft","2013","Moving forward","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:40:40 UTC"
"3VADEH0UHCVCSCJ1D5WKMBV5E4ISPS","Microsoft","2013","With the decisions we’ve made this year, the strategy we’ve put in place, the organization we’ve designed, the world-class talent we have, and the devices and services we are creating, we are well-positioned to deliver growth and world-changing technology long into the future.","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:40:23 UTC"
"31ODACBENUDXSOKGDIB9MGLFJ04SQJ","McDonalds","2016","On digital, we’re re-shaping customer interactions and energising our existing service models – whether customers eat in, take out or drive thru. We recently committed to bringing mobile order and pay to 20,000 restaurants around the world by the end of this year. We’re already running pilots in the U.S., U.K., China and Australia, with plans to scale quickly across other markets. In the U.S. alone, we committed to launch mobile order and pay – as well as curbside check-in – in all of our traditional restaurants by the end of 2017","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:40:28 UTC"
"3URJ6VVYUPLB5R5P84NNZ8A9QJK4OH","McDonalds","2016","Last month marked two years since I stepped into the CEO role with one mandate: Turn around the business. We committed to moving faster, pushing harder and taking smarter risks – and in doing so, fundamentally changed the course of our business. Today we have a keen sense of who we are and what we will do to win back customers.","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:40:56 UTC"
"3WUVMVA7OB126KZDJE8VS93D2XIZAO","CocaCola","2015","We also announced that we expect to meet our goal of 100 percent water replenishment five years ahead of schedule. And we began to improve the way we build well‑being with a renewed commitment to being part of the solution to obesity.","A3RYI5HXC2MJLN","Social Responsibility","2018-02-03 22:41:12 UTC"
"33KGGVH24UFH71MYMDRHKNUZQ3F1X6","McDonalds","2016","In every touchpoint with customers, we need to live up to our brand purpose. That means making delicious, feel-good moments easy for everyone – and we’re moving quickly to do just that. We’re focused on actions that tap into our unique competitive advantages, including our iconic brand, unmatched global scale and local community connection.","A2B6WQG0A9CKXQ","Social Responsibility","2018-02-03 22:41:21 UTC"
"3K3G488TR26WMMM51MY1T5BN5GWQ5F","CocaCola","2015","First, we said we would establish clear portfolio roles for our various markets around the world to drive revenue and profit growth. And we did. Working with our bottling and customer partners, we gained global value share and increased organic revenue 4 percent.1","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:41:46 UTC"
"3X2YVV51PU22I1H8C8VVI4GSH191WD","McDonalds","2016","Customers noticed the changes we made. As of late 2016, seven of our ten largest markets had gained or maintained market share in the Informal Eating Out category. At the same time, we saw increasing customer satisfaction scores in nine of our ten largest markets. Our brand health improved too – gaining strength in 2016 and significantly improved over the past few years.","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:43:07 UTC"
"3BC9H1KCYUAZ87SBOX24WRR2OMHWY5","Microsoft","2016","We generated $85.3 billion in revenue, $52.5 billion in gross margin, and $20.2 billion in operating income this past fiscal year. Adjusting for Windows 10 revenue deferrals and impairment, integration and restructuring expenses, revenue was $92.0 billion with $27.9 billion in operating income. Even as we invested in innovation and expanded geographically, we maintained our commitment to shareholder return and increased our total cash return to $26.1 billion, up 12 percent from last fiscal year. These results reflect exciting new product innovations as well as increases in customer usage and engagement across our businesses:","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:44:28 UTC"
"32FESTC2NHO9D021X55EHCEM0IOUCW","McDonalds","2015","In markets around the world, we showed customers we understand what’s important to them through initiatives tailored to local tastes – from free coffee events in Canada to a stronger emphasis on menu personalisation in Australia and the UK. What’s more, our new organisational structure has encouraged markets to share even more of their ideas with one another. For example, Australia recently introduced its version of All Day Breakfast.","A2B6WQG0A9CKXQ","Social Responsibility","2018-02-03 22:44:30 UTC"
"3VQTAXTYN3JQ3VAVJ59J6S84IXOUBP","CocaCola","2015","Sustainability. We advanced our sustainability partnerships across our three focus areas of women, water and well‑being. I saw this firsthand this past year when I congratulated a group of women entrepreneurs graduating from a retail leadership program created with a government agency in the Philippines.","A3OZ8KF0HWSVWK","Social Responsibility","2018-02-03 22:45:05 UTC"
"33K3E8REWWTZI16JLY0WZXH749KX8L","McDonalds","2015","Visible change is not, however, limited to the restaurant experience. Our business and our responsibility to the communities we serve are inextricably linked as part of our ongoing efforts to use McDonald’s convening power for good. That’s why, on last year’s International Day of Peace, we joined forces with the U.N.’s World Food Programme, the largest humanitarian agency fighting hunger. We raised awareness and much needed funding to help feed the 60 million refugees forced from their homes as a result of war and conflict. It’s why we signed the American Business Act on Climate Pledge, underscoring our work to prevent deforestation and encourage sustainable sourcing, recycling and energy efficiency. It’s also why we continue to support Ronald McDonald House Charities as it provides homes away from home for nearly six million children fighting illness and their families every year.","A3OZ8KF0HWSVWK","Social Responsibility","2018-02-03 22:44:58 UTC"
"3XDSWAMB22QHL7VKGWL97BHXXXIQCN","McDonalds","2015","We are in a stronger position today than we were twelve months ago. We are more focused on our customers. More aligned amongst franchisees, suppliers and company employees. Better positioned to deliver results.","A3OZ8KF0HWSVWK","No Social Responsibility","2018-02-03 22:46:05 UTC"
"3DWNFENNE3TX4GESSRVIRCTNRPA4JY","Microsoft","2016","Office 365 is changing the nature of work for individuals and teams. Customers love the power of Office on Windows and Mac as well as their iOS and Android mobile devices. In fact, Office is on more than 50 million iOS and Android monthly active devices, up more than four times over last year. Industry analyst surveys report that in cloud email, Microsoft is the clear choice. And we continue to see great momentum as innovative companies like GE, Facebook, Hershey, and Discovery Communications adopt Office 365.","A3OZ8KF0HWSVWK","No Social Responsibility","2018-02-03 22:45:41 UTC"
"3QD8LUVX4XWGVJNHN0TTND7G2JJX5J","Microsoft","2013","Second, in September we announced we are purchasing Nokia’s Devices and Services business — including its smartphone and mobile phone businesses; award-winning engineering and design teams; manufacturing and assembly facilities around the world; and teams devoted to operations, sales, marketing and support. This is a signature event in our transformation and will bring together the best mobile device work of Microsoft and Nokia. It will accelerate our growth with Windows Phone while strengthening our overall device ecosystem and our opportunity.","A2B6WQG0A9CKXQ","No Social Responsibility","2018-02-03 22:45:32 UTC"
"3AC6MFV69KGHG77RPKIN9VQHFS8ZHZ","McDonalds","2015","In early 2015, we changed the way we think and act to strengthen the fundamentals of our business and reignite growth. Shortly after becoming CEO, I introduced four operating principles – customer-centricity, simplicity, progress over perfection and personal accountability. These underlie the actions we’re taking to reassert McDonald’s leadership.","A2B6WQG0A9CKXQ","Social Responsibility","2018-02-03 22:45:46 UTC"
"33Q5P9PUSPKQZZWB3S4MY4T1203ZCQ","CocaCola","2014","Fifth, we began streamlining and simplifying our operating model. This includes reducing the size of our group-level organizations around the world, standardizing our operating approach and key processes across business units and forming a single business unit in Western Europe, where we previously had three.","A3OZ8KF0HWSVWK","No Social Responsibility","2018-02-03 22:46:15 UTC"
"3WKGUBL7SZK3Z62SVC7V7R6FVEF4L0","CocaCola","2014","We also announced strategic investments in Keurig Green Mountain, Inc. and Monster Beverage Corporation and expanded our venture with Select Milk Producers, Inc. With the first, we’re developing Keurig Kold,2 a revolutionary new pod-based system that will enable people to produce Coca‑Cola and many of our other delicious beverages at home, starting in late 2015. Meanwhile, our expanded partnership with Monster will strengthen our position in the fast-growing energy drinks category. And we introduced fairlife3 ultra-filtered milk in select U.S.cities, preparing for a national rollout of the value-added dairy brand in early 2015.","AMA18W8F60Y2J","No Social Responsibility","2018-02-03 22:46:20 UTC"
"3538U0YQ1FSWHI9S9NZE299PKIWF3K","CocaCola","2014","First, we are making targeted, disciplined investmentsin our brands and our future. In 2014, this meant ramping up our spending to build our brands—including a double-digit increase in media spend—and focusing on our strongest, most promising opportunities.","AMA18W8F60Y2J","No Social Responsibility","2018-02-03 22:46:49 UTC"
"3QHITW7OYO7TSSYMWIPI1GR9XUXQAL","Microsoft","2013","First, we are well underway in implementing the new organization structure announced in July. The teams are working together in new and exciting ways. The key change we made is deceptively simple but profoundly powerful: Instead of organizing our teams around individual products, we’ve organized by function, including, for example, engineering, sales, marketing and finance. It ensures we have one strategy and work as one team with one set of shared goals.","A3OZ8KF0HWSVWK","No Social Responsibility","2018-02-03 22:47:04 UTC"
"3CMIQF80GNOS5QMJ6586LBPN1B7Q6V","CocaCola","2015","In emerging markets, we focused on volume and building a foundation for long‑term success. In developing markets, we used a balance of volume and pricing. In developed markets, we emphasized price/mix and smaller packages. And we added a revenue metric to our incentive pay plans.","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:46:45 UTC"
"3RDTX9JRTYZ5HRJ28D2C5UZUMMO79Q","CocaCola","2014","In addition, we worked with bottling partners in key markets to position our system for more robust future growth. For 2014, this included announcing a significant new investment in Coca‑Cola Amatil Indonesia as well as the formation of a next-generation operating model with Coca‑Cola Beverages Africa. Both of these vibrant and populous markets will help fuel our growth.","A2B6WQG0A9CKXQ","No Social Responsibility","2018-02-03 22:47:02 UTC"
"3BAKUKE49HAXA50MDELPV58BPMU1RA","CocaCola","2014","Fourth, we aggressively stepped up our productivity efforts. While we had already announced a plan to deliver cost savings to invest in our brands and business, we took action in 2014 to increase this to $3 billion in incremental annualized savings by 2019.","A3OZ8KF0HWSVWK","No Social Responsibility","2018-02-03 22:46:43 UTC"
"356TQKY9XFV53M0S3LWY5Y4J2G6781","CocaCola","2014","Globally, families and individuals spent less on consumer goods in 2014, slowing growth in nonalcoholic beverages. And this had an impact on our performance.","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:46:39 UTC"
"33KGGVH24UFH71MYMDRHKNUZQ3EX11","Microsoft","2016","Throughout our discussions with LinkedIn this year, I was struck in my conversations with founder Reid Hoffman and CEO Jeff Weiner that we share a commitment to more directly and more evenly spread opportunity for everyone. In fact, LinkedIn’s vision has been to create economic opportunity for every member of the global workforce—all 3 billion of them—by building the world’s first economic graph, a digital representation of the global economy and opportunity. The goal is to make labor markets work better for everyone by making them more efficient and open. Together we aspire to help everyone navigate an increasingly challenging global economy more effectively.","A3RYI5HXC2MJLN","Social Responsibility","2018-02-03 22:47:09 UTC"
"3IZVJEBJ6AI1JINAT1RJC41R6ESZ6Y","Microsoft","2016","Commercial cloud annualized revenue run rate exceeded $12.1 billion, up more than 50 percent year-over-year.More than 70 million people use Office 365 commercial every single month. Revenue from our cloud platform, Azure, grew triple digits, with usage of key computing and database workloads more than doubling year-over-year. Windows 10 is now active on more than 400 million devices around the world and over 197 billion hours of usage. This is the fastest adoption rate of any prior Windows release. Bing has leveraged this incredible usage to become profitable with search advertising revenue up 17 percent, excluding traffic acquisition costs. Xbox Live monthly active users grew 33 percent year-over-year to 49 million.","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:48:26 UTC"
"3TX9T2ZCB9ZZDX2GKJ4NAY04UGLWZW","Microsoft","2016","What this means for organizations is that Microsoft is their partner in digital transformation – engaging customers, empowering employees, optimizing operations, and transforming products. What it means for people is that Microsoft helps them get more out of every moment – creating, collaborating, learning, gaming, being mobile, and staying secure.","A2B6WQG0A9CKXQ","Social Responsibility","2018-02-03 22:51:43 UTC"
"3JHB4BPSFK7FN9OH4CBI5LGPRCFQ96","Microsoft","2013","With this as backdrop, I’d like to summarize where we are now and where we’re headed, because it helps explain why I’m so enthusiastic about the opportunity ahead.","A2B6WQG0A9CKXQ","No Social Responsibility","2018-02-03 22:52:14 UTC"
"3PUOXASB571O11P8R8UVWESTWF0Z99","CocaCola","2015","We also announced plans to form a unified new bottling partner in Western Europe. We took steps to improve our bottling system in Southern and East Africa and Indonesia. And, in early 2016, we unveiled plans to sell our Company‑owned bottling operations in China to two existing bottling partners.","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:55:23 UTC"
"3OJX0UFJ0Z57F2VYLLVNFMDEUXLU9F","Microsoft","2016","Looking ahead, our vision is to teach human language to all of the computing experiences that surround us. We imagine a world in which a deeply personal agent understands you, your organization, and your world, helping you get more out of every moment. Skype and Outlook with their hundreds of millions of users already are conversational canvases that will increasingly become rich platforms for getting every task done with new applications in the form of bots.","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:55:44 UTC"
"3OJX0UFJ0Z57F2VYLLVNFMDEUXLU9F","Microsoft","2016","Looking ahead, our vision is to teach human language to all of the computing experiences that surround us. We imagine a world in which a deeply personal agent understands you, your organization, and your world, helping you get more out of every moment. Skype and Outlook with their hundreds of millions of users already are conversational canvases that will increasingly become rich platforms for getting every task done with new applications in the form of bots.","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:55:44 UTC"
"3VJ4PFXFJ35LKL53DR9NBHOY0F3UAU","CocaCola","2015"," Partnerships with consumers, who turn to us for simple moments of refreshment, uplift and togetherness more than 1.9 billion times a day. Partnerships across our worldwide bottling system, which makes our beverages and ensures they’re in stores and restaurants and ready for purchase.  Partnerships with our valued customers—all the shops, eateries, theaters, theme parks and other outlets that sell our beverages. And partnerships with other vital stakeholders, from shareowners like you to all those we work with across the “golden triangle” of business, government and civil society. Last year, we reshaped our business for greater value creation by focusing on the five key actions we outlined in late 2014.","A3RYI5HXC2MJLN","No Social Responsibility","2018-02-03 22:55:54 UTC"
"3IWA71V4TIECENNVSJ3YFJLGYEUX6Z","McDonalds","2016","We’ve never been more energised by our potential – and it’s possible because of the strong foundation we’ve built. What we’re doing in pockets now is indicative of what we can do around the world in the future. Here are just a few examples: On a farm in Ireland, you might meet a farmer certified through a national sustainability program, raising high-quality beef for McDonald’s restaurants more efficiently and with a smaller carbon footprint. Inside McDonald’s restaurants in Canada, you might stand alongside a Guest Experience Leader who sets a new standard for hospitality, helping you order a premium burger at a kiosk. Outside of McDonald’s restaurants in parts of Florida, you might pull out your smartphone to order an Egg McMuffin (at any time of day) to be delivered right to your doorstep, the ultimate form of convenience.","A3RYI5HXC2MJLN","{}","2018-02-03 22:58:53 UTC"
"3SBX2M1TKDLEQ3I5NHFROD595K24QP","McDonalds","2016","We know that for consumers to choose McDonald’s, we need to reach them where it matters most. That’s why we undertook the largest customer research project in our history. The results showed we can bring customers back to McDonald’s by doing what we’ve historically done better than anyone else – serving delicious meals, quickly and affordably.","A1DCGB72N1UIPT","No Social Responsibility","2018-02-03 23:02:57 UTC"
